Sl. No.,State/UT,2019,2020,2021,Mid-Year Projected Population (in Lakhs) (2021),Rate of Cognizable Crimes (IPC+SLL) (2021),Chargesheeting Rate (2021)
1,Andhra Pradesh,145751,238105,222199,528.5,420.4,93.5
2,Arunachal Pradesh,2877,2503,3039,15.4,197.7,53.6
3,Assam,132783,121609,133239,351.6,379,39.4
4,Bihar,269109,257512,282083,1237,228,77.9
5,Chhattisgarh,96561,103173,110633,296.1,373.7,87.1
6,Goa,3727,4366,2991,15.6,191.6,80.9
7,Gujarat,431066,699619,731738,700.8,1044.2,98.3
8,Haryana,166336,192395,206431,296,697.3,68.4
9,Himachal Pradesh,19924,20630,18833,74.1,254.3,87.4
10,Jharkhand,62206,63570,60765,386.4,157.3,71
11,Karnataka,163691,150080,163697,669.9,244.4,78.5
12,Kerala,453083,554724,524960,355.4,1477.2,97.4
13,Madhya Pradesh,395619,428046,475918,848.6,560.8,91.9
14,Maharashtra,509433,539003,540800,1247.6,433.5,82.9
15,Manipur,3661,2986,3204,31.7,101,20.4
16,Meghalaya,3897,3744,3428,33,104,38.9
17,Mizoram,2880,2289,3196,12.2,262.2,76.2
18,Nagaland,1661,1511,1478,22,67.2,72.6
19,Odisha,121525,134230,155420,457.9,339.4,79.6
20,Punjab,72855,82875,73581,304,242,80.2
21,Rajasthan,304394,260378,284569,795.7,357.6,62
22,Sikkim,821,675,728,6.8,107.4,72.2
23,Tamil Nadu,455094,1377681,756753,764.8,989.5,78.8
24,Telangana,131254,147504,158809,377.7,420.5,80.7
25,Tripura,5988,4653,4788,40.8,117.3,72
26,Uttar Pradesh,628578,657925,608082,2317,262.4,82.1
27,Uttarakhand,28268,57332,34875,114.4,304.9,86.9
28,West Bengal,188049,182367,181821,982.9,185,91.4
29,Andaman and Nicobar Islands,4034,2542,1332,4,332.2,95.7
30,Chandigarh,4518,3254,2995,12.1,247.1,72.8
31,Dadra and Nicobar Haveli and Daman and Diu,660,533,579,11.1,52.3,78.1
32,Delhi,316261,266070,306389,207,1479.9,34.3
33,Jammu and Kashmir,25408,28911,31675,134.4,235.7,81.4
34,Ladakh,NA,403,559,3,187.6,90.1
35,Lakshadweep,182,147,128,0.7,188.2,61.7
36,Puducherry,4004,7940,4595,15.8,290.1,93.8
